surname,speaker,previous_surname,previous_speaker
"","","conrad","Senator Conrad","    Most of the outlay growth, if you look at the next chart, \nyou will see is kind of divided up between all other spending, \ndomestic discretionary spending. DOD is the red line, defense. \nYou will notice the last couple years, if you add the war, the \nwar being the big delta, we had supplementals of $79 and $87 \nbillion in 2003 and 2004. That is that top delta that shows a \nbig increase of spending because we had to fight the war. The \nyellow lines are new spending. That is homeland security. So \nthat is where most of the new money went.\n    So I just make mention of those facts, and the fact that we \nhave a big challenge. We are spending more than we are taking \nin. We have to close that gap. And it will not be easy, and it \nprobably will not be done unless we all work together to make \nit happen.\n    We have to have a budget. The administration has proposed a \nbudget. We will work to pass a budget this year. It was not \neasy last year. It will not be easy this year. But I think it \nwould be irresponsible of Congress if we do not pass a budget.\n    And so I applaud the administration. They have given us a \nchallenge, and they said they think we should reduce the \ndeficit by half in 5 years. I believe strongly that we should \ndo that. I hope that we can accelerate that. I hope that we can \ncut the deficit in half--did I say balance the budget or cut it \nin half? The administration wants us to cut the deficit in half \nin 5 years. I hope we can meet or exceed that level. I hope we \ncan do it 2 or 3 years. I cannot stand the idea of having \ndeficits at the $400 and $500 billion level. It bothers me \ndaily. And I am very serious about that.\n    So I hope we can aggressively try and get our deficit, \nwhether you are talking about GDP or you are talking about \ndollar-wise, get it to a much smaller, more sustainable figure, \nat the $200 billion level in the next year or so. And I will \nwork aggressively to do that. And that may mean taking on some \npopular programs, like a highway bill that my colleague from \nOklahoma is in the process of passing, and others. I want that \nhighway bill to be paid for, and presently it is not paid for \nsatisfactorily, and certainly not entirely.\n    I want to thank my friend, Senator Conrad, because he was \nof great assistance in our markup in the Finance Committee on \nthat bill on Monday.\n    So we have many, many big challenges before us. We look \nforward to the administration presenting their budget to us. \nAnd just for the information of our colleagues, we were \nscheduled to have Secretary Snow testify yesterday and could \nnot because of the loss of the hearing room in Dirksen. We are \ntrying to reschedule him for as soon as possible. I was hoping \nthat we would be able to get Secretary Snow Tuesday or \nWednesday. We have not confirmed that yet, but we will notify \nmembers as soon as we can have Secretary Snow scheduled.\n    We have Secretary Thompson scheduled for next Thursday, and \nthat will be in the Senate. And then we have a couple of others \nlined up, and we will notify all members as soon as possible on \nthat.\n    We do expect to work through the entire budget process in \nthe next 2 months, and so we have a lot of work to do, and we \nwill have hearings basically throughout this month, and then \nthe month of March we will begin committee markup, floor \nmarkup, and conference.\n    I told Senator Byrd I wanted to talk to him about it. I do \nwant to tell all members I would like to improve the process \nthat we consider the budget on the floor. I have been \nembarrassed with our vote marathons, vote-a-thons, whatever you \nwant to call them. It is not a good way to legislate, and I \nthink we all recognize that. Maybe we can see if we cannot \ntogether, collectively, bipartisanly, improve the procedure on \nthe floor, and, frankly, add more respect and dignity to the \nSenate in consideration of a budget of the magnitude somewhere \nin the range of $2.4 trillion. We need to do a better job in \nmanaging the floor in that effort. So I am going to work with \nour colleagues and see if we cannot come up with some other \nimprovements, and I appreciate very much Senator Conrad's \nwillingness to consider some changes that might be an \nimprovement, not just this year but, frankly, in future years.\n    And, with that, Director Bolten, we will recognize you for \nyour comments. Welcome to the Budget Committee."
break,break,break,break
"","","conrad","Senator Conrad"," STATEMENT OF JOSHUA B."
break,break,break,break
"","","conrad","Senator Conrad","    Mr. Bolten. Thank you, Mr. Chairman, and thank you, Senator \nConrad and other distinguished members of the committee. It is \na privilege to have the opportunity to appear before you this \nmorning.\n    The 2005 budget that was transmitted earlier this week \ncontinues to support the President's three overriding national \npriorities: winning the war on terror, protecting the homeland, \nand strengthening the economy. The President is committed to \nspending what is necessary to provide for our security and \nrestraining spending elsewhere.\n    Since September 11, 2001, as you have emphasized, Mr. \nChairman, more than three-quarters of the increase in the \nFederal Government's discretionary spending has been directly \nrelated to our response to the attacks, enhanced homeland \nsecurity, and the war on terror. The President's 2005 budget \ncontinues this spending trend. That means significant increases \nin essential funding for our security programs, combined with a \ndramatic reduction in the growth of discretionary spending \nunrelated to security. With your support in enacting this \nbudget into law, we will be well on the path to cutting the \ndeficit in half over the next 5 years.\n    If I could have the first chart up, please.\n    Mr. Chairman, at OMB we have found it useful to try to \ndivide the discretionary budget into three categories, similar \nto the chart that you just showed. On the left is defense, \nwhich is basically the Defense Department. In the center is \nhomeland security, which is not congruent with the Department \nof Homeland Security; about two-thirds of that Department \nspending we characterize as homeland security spending. But \nthere are a number of other elements from other departments \nthat are included within that category, particularly from \nHealth and Human Services, the Department of Justice, some from \nthe Department of Agriculture, and others. And then on the \nright is everything else, which we label non-defense, non-\nhomeland spending.\n    The President's--yes?\n    Chairman Nickles. Excuse me. Does that include all the \nsupplementals? That includes all spending?\n    Mr. Bolten. No, it does not. We have another chart that \nincludes supplementals, but this one is just base discretionary \nspending.\n    The yellow bars represent the President's proposals for \n2005. What that reflects is, on the left, an increase in \ndefense spending by 7 percent to support our men and women in \nuniform and transform our military; in the center, an increase \nin homeland security spending by nearly 10 percent to \nstrengthen our capability to prevent future attacks; and on the \nfar right, holding the rest of discretionary spending to half-\nof-1-percent growth, well below the rate of inflation, while \ncontinuing to increase funding for key priorities such as the \nPresident's No Child Left Behind education reforms.\n    The President's budget is built on the sensible premise \nthat Government spending should grow no faster than the average \nincrease in average American family incomes, which is \napproximately 4 percent. This budget, the 2005 budget, proposes \nto hold the growth in total discretionary spending to 3.9 \npercent overall and, again, to reduce the growth in non-\ndefense, non-homeland security spending to half of 1 percent, \nbelow the rate of inflation.\n    Mr. Chairman, in the last budget year of the previous \nadministration, 2001--that is reflected in the green bars on \nthis chart--discretionary spending unrelated to defense or \nhomeland security soared by 15 percent. With the adoption of \nthe President's first budget in 2002, that growth rate was \nreduced to 6 percent, then 5 percent the following year, then 4 \npercent for the current fiscal year that we are now in, fiscal \nyear 2004; and as I have just emphasized, down below 1 percent \nin the President's proposal for 2005.\n    The President's budget builds on the pro-growth economic \npolicies that have laid the foundation for the economic \nrecovery now under way and for sustained growth and job \ncreation in the years ahead.\n    The tax cuts that you and the Congress enacted have been \ncritical to strengthening the economy and to creating jobs. \nPerhaps the best timed in American history, these tax cuts \ndeserve much credit for today's brightening economic picture, \nwhich includes nine consecutive quarters of positive growth, \nthe highest quarterly growth in 20 years in the third quarter \nof last year at 8.2 percent, ongoing extraordinary productivity \ngrowth, continued strength in housing starts and retail sales, \nand encouraging signs of renewed business investment. These \nindicators suggest that job growth, which typically lags \nrecovery, should continue to strengthen in the months ahead.\n    Mr. Chairman, the President will not be satisfied, however, \nuntil every American who wants a job can find a job. So this \nbudget supports the President's six-point plan for economic and \njobs growth, including making permanent the tax relief that has \nfueled our economic recovery.\n    The sustained growth that this budget supports will be good \nnews for our budget picture as well. As the economy improves, \nTreasury revenues will as well.\n    Like America itself, the Federal budget has faced \nextraordinary challenges in recent years: a stock market \ncollapse that began in early 2000; a recession that was fully \nunder way in early 2001; revelation of corporate scandals, \nyears in the making; and, of course, the September 11th attacks \nand the ensuing war on terror.\n    With Treasury receipts only beginning to reflect a \nrecovering economy and major ongoing expenditures in Iraq, \nAfghanistan, and elsewhere in the war on terror, we still face \na projected $521 billion deficit for the 2004 fiscal year. That \nsize deficit at 4.5 percent of GDP is not historically out of \nrange. Deficits have been this large or larger in 6 of the last \n25 years, including a peak of 6 percent in 1983.\n    Under the circumstances that created it, today's deficit is \ncertainly understandable, but that deficit is also undesirable \nand unwelcome. And with enactment of this budget, we will bring \nit down.\n    With continuation of the President's economic growth \npolicies and sound spending restraint reflected in the budget I \nhave just outlined, our projections show the deficit will be \ncut by more than half over the next 5 years. This dramatic \nreduction begins in the fiscal year of this budget, 2005, for \nwhich we are projecting a deficit of $364 billion, roughly 3 \npercent of GDP. The rapid deficit reductions continue in \nsubsequent years, with our projections showing the deficit \nfalling to 1.6 percent of GDP by 2009. This is not only well \nbelow half its current 4.5-percent level; it is also well below \nthe 2.2-percent average deficit during the last 40 years. And \nyou will see on that chart a black line across the middle of \nthe chart. That reflects the 2.2-percent, 40-year historical \naverage deficit for the Federal Government. It is also roughly \na line that reflects cutting our current deficit in half.\n    This deficit reduction is the combined effect of economic \ngrowth and spending restraint. As the economy recovers, tax \nreceipts as a percent of GDP will rise to historic levels by \nthe end of the budget window, while spending restraint keeps \noutlays flat or slightly declining as a share of GDP.\n    The spending restraint reflected in this budget is not \nautomatic, so we are also proposing new statutory budget \nenforcement mechanisms, establishing in law limits on both \ndiscretionary and mandatory spending, and requiring that any \nincreases in spending be paid for by spending offsets.\n    We plan to transmit legislation to the Congress that has \nthree elements: one, reinstate the caps on discretionary \nspending for 5 years through 2009; two, a pay-as-you-go \nrequirement limited to new mandatory spending--any proposed \nincrease in mandatory spending would have to be offset by a \nreduction in mandatory spending, tax increases could not be \nused as an offset, and PAYGO would not apply to tax \nlegislation. Three, measure the long-term unfunded obligations \nof major entitlement programs and include a 60-vote hurdle in \nthe Senate for legislation that would expand these obligations.\n    I look forward to working with this committee to gain \nenactment of these proposals to restrain spending.\n    Finally, the President is keeping this administration \nfocused on what the American people care most about: results. \nThe measure of the Government's success is not how much we \nspend but, rather, how much we accomplish. This budget includes \na scorecard that measures the progress agencies are making in \nachieving results so that the Government continues to be \naccountable to the taxpayers.\n    Since President Bush took office, our Nation has confronted \na cascading set of challenges. The President and Congress \nresponded on all fronts, with tax relief to get the economy \ngoing, the largest reorganization of the Federal Government in \n50 years to create a new Department of Homeland Security, and \nthe largest increases in the defense budget since the Reagan \nadministration.\n    The President's 2005 budget builds on this record of \naccomplishment. With renewed economic growth and the Congress' \ncooperation in restraining spending, and focusing it on our \nmost critical priorities, we can accomplish the great goals the \nPresident has set for the country while dramatically improving \nour budget situation.\n    Mr. Chairman, I look forward to taking your questions."
break,break,break,break
"","","conrad","Senator Conrad","    Chairman Nickles. Director Bolten, thank you very much. I \nhave a lot of questions, but I also have a lot of colleagues, \nand I want to recognize them.\n    I am going to ask all of our colleagues that they try and \nkeep their questions and remarks in the order of 5, 6, 7 \nminutes. That would be appreciated, and I think by others.\n    I will withhold many of my questions until the second \nround. I think I will still be here. I doubt that others will \nbe. I will ask you one question, if you could help explain the \ndifference in scoring between CBO and OMB or CMS on the cost of \nthe prescription drug benefit. When we passed a budget last \nyear, we set up a budget that said we would spent up to $400 \nbillion over the next 10 years to strengthen, enhance, and \nimprove Medicare, including prescription drugs. The bill that \nwe passed was scored by CBO to be at $395 billion. Under your \nbudget submission, CMS, HHS, OMB, your actuaries have \ndetermined that it was in excess of $520 billion.\n    Could you give us a brief explanation of the differences \nbetween the scoring between CBO and CMS?\n    Mr. Bolten. Mr. Chairman, there is a substantial difference \nbetween the actuaries. CBO, at the time the bill was being \nconsidered and enacted, scored the cost at $395 billion. The \nestimate that the HHS actuaries put out, I believe at the end \nof December, was $534 billion. So a substantial difference \nthere.\n    The reasons for the difference are highly technical. I am \nnot sure I am the best person to explain it, but I know that \nSecretary Thompson has had an opportunity to address the issue \nin some detail, and I know that the actuaries are working \ntogether to try to resolve their differences.\n    The CBO and HHS actuaries have had differences for some \ntime about fundamental assumptions related to the Medicare \nbill. Those include how quickly the prescription drug costs \nwould likely come down because of volume buying. They include \ndifferent assumptions about level of participation rates. They \ninclude different assumptions about the level of participation \nby private plans in the program. All of this in an area that is \ninherently hard to estimate, but made especially difficult in \nthis case because of the novelty of so many of the programs \ninvolved.\n    The important part of this is that I think this is an \nhonest disagreement between experts, both of whom in my eyes \nhave a great deal of credibility. We in the administration are \nunder some constraint to carry the HHS estimate in our budgets, \nwhich we have done. So we are reflecting and carrying in our \nbudget the higher estimate. But I know the actuaries are \nworking together to try to figure out how to close their \ndifferences.\n    At the time you adopted the legislation, that you \nconsidered the legislation, what was relevant, as it always is \nwith legislation, was and is the CBO score. My expectation is \nthat as we submit our budget, CBO will in the ordinary course \nof things rescore our budget. And I expect that they will \nreflect their original score, because I understand that \nDirector Holtz-Eakin as recently as this week has reaffirmed \ntheir intention to stay with their $395 billion score.\n    Chairman Nickles. Thank you very much.\n    Senator Conrad."
"conrad","Senator Conrad","conrad","Senator Conrad","    Director Bolten, when did you know that \nthere was a difference, a substantial, dramatic difference, \nbetween the estimates of the cost of the prescription drug bill \nbetween CMS and your agency?\n    Mr. Bolten. I think all of those who were involved in the \nMedicare discussions were aware that there were differences \nbetween the assumptions of the CBO and the HHS actuaries. My \nunderstanding is that that was true all the way through the \nMedicare considerations."
"conrad","Senator Conrad","conrad","Senator Conrad","    And did you ever feel that you had an \nobligation to tell Members of Congress that you thought the \nbill was going to cost much more?\n    Mr. Bolten. I wasn't directly engaged with the Members of \nCongress on the bill, but I know that Secretary Thompson, who \nwas, did discuss with members some differences in the \nassumptions. But within the administration, we were also aware \non this legislation, as in all legislation, that what counts as \nthe legislation is being considered is the CBO score."
"conrad","Senator Conrad","conrad","Senator Conrad","    Well, when you say you were not engaged \nwith members, you were engaged with me. You came up here and \ntold me that you thought additional steps needed to be taken to \nrein in spending, but you never once said to me that you had a \nbelief that the cost was going to be far in excess of what was \nbefore the Congress.\n    Mr. Bolten. Senator, yes, I did. I did engage with you and \nseveral other members on the long-term outlook here. And you \nwill recall that our conversation was about our interest in \ncreating a unified trust fund, which I think would most \naccurately reflect the overall cost. But on the details of the \nbill, I was not engaged with the members, but I do not think \nthat is what is really relevant here. What is relevant here is \nthat at the time that you all were considering the bill, it was \nthe CBO score that counted, and that is what everybody was \noperating on."
"conrad","Senator Conrad","conrad","Senator Conrad","    Yes, but I would say this to you: I think \nyou had an obligation, if you believed that the cost was going \nto be far in excess of what CBO was telling us, to say so. I \nwill not go further with it. I just tell you I am personally \ndisappointed that somebody in the administration did not send \nup a very clear signal that, in their judgment, this bill was \ngoing to cost a third again as much as what we were told at the \ntime.\n    You keep saying you are going to cut the deficit in half 5 \nyears from now. The only way you are going to cut the deficit \nin half 5 years from now is just not to count things.\n    Let me ask you this: When you say you are going to cut the \ndeficit in half, you say it is going to be $237 billion. Are \nyou counting the $259 billion you are going to take from Social \nSecurity in that year that you have to pay back? Is that in \nthat?\n    Mr. Bolten. Senator, this administration, as all previous \nadministrations, at least in recent decades, and CBO, looks at \nthe deficit picture on a unified basis. So what counts for \ndeficit purposes is the unified budget deficit or surplus, as \nthe case may be----"
"conrad","Senator Conrad","conrad","Senator Conrad","    But isn't this going to add--isn't that \n$259 billion going to add to the debt of the United States? The \nmoney that is being taken from Social Security in 2009 you have \nto pay back, don't you?\n    Mr. Bolten. Sure. It is a Government obligation. But what--\n--"
"conrad","Senator Conrad","conrad","Senator Conrad","    And that adds to the debt.\n    Mr. Bolten. It does not--it adds to the overall debt of the \nGovernment, but it does not add to the debt held by the public."
"conrad","Senator Conrad","conrad","Senator Conrad","    Not the debt held by the public, but it \nadds to the gross debt of the United States, and it has got to \nbe paid back.\n    Now, let me just say why I am concerned about this, because \nback in the 1980's there was virtually no Social Security \nsurplus to be concerned about. In 1983, the last time as a \npercentage of GDP we had a deficit as big as this one, there \nwas virtually no Social Security surplus.\n    In this year alone, your estimates are the Social Security \nsurplus is going to be $259 billion, and you are taking it all. \nYou are not taking it all just for that year. You are taking it \nall for the next decade. That is $2.4 trillion--$2.4 trillion--\nand you are not letting the American people understand all that \nhas got to be paid back.\n    But it does not end there. The same thing is true with \nMedicare. The alternative minimum tax, which you are paying for \nfor 1 year, has a cost in 2009 of $55 billion. It is nowhere. \nYou have, in addition to that, no calculation of residual war \ncosts. CBO tells us it is going to be $30 billion that year. \nYou add all that up, that is over $600 billion of added debt \nwhen you are telling the people it is going to be a deficit of \n$237 billion.\n    I think that is misleading to people, and all of this right \nbefore the baby boomers retire.\n    Mr. Bolten. If you can hold the chart up for just 1 second?"
"conrad","Senator Conrad","conrad","Senator Conrad","    Yes.\n    Mr. Bolten. Senator, we disagree--not about the problem \nwith Social Security--I share very much your concern about the \nlong-term unfunded liability in Social Security. But in terms \nof correctly describing what our deficit situation is, I think \nthe right way to look at it is on a unified basis, because it \nis what the Government needs to borrow today from the private \nsector or tomorrow from the private sector that is relevant in \nthe concern you expressed at the end of your remarks, which \nwas: Is private capital being crowded out? What is going on \nwith interest rates?\n    Right now we do not see the deficits we are running today \nputting pressure on interest rates, but I think you are right \nto be concerned about it. But the right way to look at it is \nwhat does the Government need to borrow today or tomorrow in \norder to meet that obligation.\n    Let me move on to the other elements. On the Medicare \nsurplus----"
"conrad","Senator Conrad","conrad","Senator Conrad","    Let me just respond to that for a moment. I \ntell you, I think we have a fundamentally different \ncircumstance than we faced in the 1980's because the baby \nboomers are about to retire. And the hard reality is debt held \nby the public is a different metric than the gross debt of the \nUnited States. The gross debt of the United States matters a \nlot more when the baby boomers are about to retire. And it is \nwhy, if you look back at the 1980's, there was virtually no \nSocial Security surplus. Now there are huge Social Security \nrevenues coming in, growing dramatically--it produces a $150 \nbillion Social Security surplus this year. It is going to be \n$250 billion by your calculation in just 5 years. And you are \nnot counting it as part of the deficit, when, in fact, it has \nall got to be paid back. It is adding to the debt. And what we \nhave here is a gross debt that is spinning totally out of \ncontrol at the worst possible time.\n    Mr. Bolten. I do want to emphasize that I completely share \nyour concern about the long-term unfunded liability of Social \nSecurity, which begins to bite within the next 10 or 15 years \nvery badly, when Social Security itself will start taking in \nless money than it is putting out. So I do not want to minimize \nconcern about Social Security. I do want to say we have a \ndisagreement about the right way to characterize deficits \ntoday.\n    Looking at some of the other elements on your chart, I \nthink to suggest that there is a Medicare surplus does not tell \nthe actual story, that Medicare is divided into two parts, part \nof which has a trust fund, which is in surplus, but the other \nhalf of Medicare is running a large cash deficit."
