surname,speaker,previous_surname,previous_speaker,speech
break,break,break,break,break
"","","skelton","Mr. Skelton","   STATEMENT OF REAR ADM."
break,break,break,break,break
"","","skelton","Mr. Skelton","    Admiral MacDonald. Good morning, Mr. Chairman, Ranking \nMember Skelton, members of the Armed Services Committee. Thank \nyou for the opportunity to testify today on the subject of \nmilitary commissions.\n    The Chairman. Before you start, let me ask my colleagues, \nwe are going to have other--if other members who are not \nmembers of the committee would like to sit in on either side of \nthe aisle, it is my feeling we should let them sit in and after \nour questions are finished, we should let them ask questions. \nWithout objection, let us let that occur. So ordered.\n    Go ahead, Admiral.\n    Admiral MacDonald. Congress' establishment of a legal \npermanent framework for military commissions, a Code of \nMilitary Commissions, would be a welcome addition to military \njurisprudence. My view is that existing court-martial rules are \nnot practical for the prosecution of unlawful enemy combatants \nnow or in future conflicts.\n    Yet our military justice model, the Uniform Code of \nMilitary Justice, can provide an appropriate starting point for \nthe drafting of commission legislation. We have been working \nwith others in the executive branch to formulate precisely such \na bill. I recommend that legislation establish the jurisdiction \nof military commissions, set baseline standards of structure, \nprocedure and evidence consistent with U.S. law and the law of \nwar and proscribe all substantive offenses.\n    The legislation should further authorize the President to \npromulgate supplemental rules of practice similar to the manual \nfor court-martial or in this case a manual for military \ncommissions. The legislation proposed by the President \ngenerally accomplishes those goals.\n    I and other military lawyers have worked with many others \nin the Administration to incorporate these ideas into the draft \nlegislation recently submitted before you. It reflects many of \nour comments, although there are some issues, particularly the \nuse of classified evidence, where I would stand by the approach \nto that taken by the Uniform Code of Military Justice. It is \nCongress, however, that will make the final decision on these \nissues. I am confident in so doing that we can achieve the \nnecessary and appropriate balance between affording an accused \nthe judicial guarantees recognized as indispensable by \ncivilized people on the one hand and/or valid national security \ninterests on the other.\n    Mr. Chairman, you asked that we comment on some specifics \nthat you talked about with respect to hearsay. It would be my \nopinion that the hearsay proposal that the Administration has \nforwarded is adequate as it currently stands in the draft bill \nthat you have before you.\n    With respect to coerced statements, it would be my position \nthat I would not--I would recommend that the committee look at \nnot allowing coerced statements, that the statements that are \nobtained under torture are excluded under the current \ncommission rules. However, statements obtained through coercion \nif they meet a reliability and probative test are admitted. I \nwould recommend that the committee look to the Detainee \nTreatment Act and the cruel, inhumane and degrading treatment \nstandard and apply that standard as well to statements that may \nor may not be coerced, and I would leave that determination to \nthe military judge in charge of the commission to balance those \ncompeting interests.\n    Thank you, Mr. Chairman.\n    The Chairman. Okay. Thank you very much, Admiral. General \nDunlap."
break,break,break,break,break
"","","skelton","Mr. Skelton","  STATEMENT OF MAJ."
break,break,break,break,break
"","","skelton","Mr. Skelton","    General Dunlap. Thank you, Mr. Chairman, Ranking Member \nSkelton, and distinguished members of the committee.\n    Major General Rives, the Judge Advocate General, is \ntraveling overseas. Accordingly, I appreciate the opportunity \nto appear before you today as this committee carefully \nconsiders the authority of the United States to prosecute \nsuspected terrorists, consistent with the Supreme Court's \ndecision in Hamdan v. Rumsfeld, and Mr. Chairman, with your \npermission I am going to summarize my statement.\n    The Chairman. Go right ahead.\n    General Dunlap. It will be in the record.\n    The Uniform Code of Military Justice and the Manual for \nCourts-Martial provided a superior starting point for \ndevelopment for a revised commission process and there will of \ncourse, as Admiral MacDonald indicated, necessarily be \nadjustments and changes from the manual and the Uniform Code. \nHowever, many of these processes can be readily adapted to meet \nthe needs of military commissions and at the same time meet the \nrequirements of Common Article 3 of the Geneva Conventions. The \nproposal submitted to Congress by the President reflects an \nattempt to adapt the UCMJ to the military commissions process. \nI personally support many, if not most, of these provisions.\n    A revised approach to military commissions is not only the \nright thing to do, but it also serves a pragmatic military \npurpose in helping us in the Global War on Terror.\n    Success in this war requires cooperation of many nations \naround the world, and addressing the Supreme Court's concerns \nabout military commissions will reaffirm our position on the \nmoral and legal high ground. A process fully compliant with \nCommon Article 3 will enhance our standing internationally and \nempower our allies to embrace the legal reasoning and \narchitecture behind the prosecution of military commission \ncases. Doing so is plainly in our warfighting interests. I look \nforward to discussing these issues with the committee.\n    Mr. Chairman, with respect to your specific questions I \nconcur with Admiral MacDonald in his view of the legislation.\n    With respect to coerced statements, I would say that every \ninterrogation is coercive to some degree and what we are \nlooking at here is unlawful coercion, and the concepts that \nAdmiral MacDonald indicated I think are the right ones to do. I \nwould leave it up to the military judge to determine in that \ncontext whether or not the interests of justice are served by \nadmitting the statement.\n    The Chairman. Okay. Thank you, General. General Walker, \nthank you for being with us today. The floor is yours."
break,break,break,break,break
"","","skelton","Mr. Skelton"," STATEMENT OF BRIG."
break,break,break,break,break
"","","skelton","Mr. Skelton","    General Walker. Thank you, Chairman Hunter. Members of the \ncommittee, good morning. I want to thank you for the \nopportunity to be here today and for your committee's \ncontinuing interest in the military commission process.\n    Since the Supreme Court decision in Hamdan v. Rumsfeld back \nin June there has been a lot of discussion and debate on the \nfuture course of the commissions and of course yesterday the \nPresident announced a new legislative proposal. All the \nproposed solutions must achieve that delicate balance between \nindividual due process and our national security interest. We \nmust maintain our Nation's ability to deal with terrorists and \nunlawful enemy combatants, but at the same time we must also \nprovide those judicial guarantees which are recognized as \nindispensable by civilized people.\n    While we seek that balance we also must remember the \nconcept of reciprocity. What we do and how we treat these \nindividuals can in the future have a direct impact on our \nservicemen and women overseas. I have reviewed the \nadministrative proposal legislation submitted yesterday and I \nthink it does provide a solid foundation to achieve these \nbalances.\n    I personally remain concerned about any process which would \npermit the introduction of evidence against an accused outside \nof his presence. I simply believe the right to see the evidence \nagainst you and to be present when evidence is presented are \nfundamental to a full and fair trial and are also part of those \njudicial guarantees which are recognized as indispensable by \ncivilized people.\n    This may require in particular cases, I understand, that \nthe government would have to balance and then have to balance \nthe need for prosecution on a particular charge against the \nneed to protect certain classified information.\n    I concur with the comments of Admiral MacDonald and General \nDunlap as to hearsay evidence. I think that the proposals on \nhearsay evidence do provide adequate safeguards. They conform \nwith the accepted legal standards but also recognize the unique \ncharacter of the conflict we are in now and the availability of \nevidence and the availability of witnesses worldwide.\n    Like my counterparts, I look forward to working with \nCongress to create a system that will simultaneously help \ndefend our Nation from those who seek to destroy it but also \nuphold the values which have set us apart for over 230 years. \nThank you, sir.\n     The Chairman. Thank you very much. Colonel Reed."
break,break,break,break,break
"","","skelton","Mr. Skelton","STATEMENT OF COL."
break,break,break,break,break
